목록,국가,책이름,시리즈,저자,역자,출판사,초판,장서
1. 책,,,,,,,,
1-1 삼국지,,,,,,,,
1-1-1 <삼국지>,,,,,,,,
1-1-1,한,정사 삼국지 위서 1,,陈寿,김원중,신원문화사,1994.11.10,2000.9.1
1-1-1,한,正史 三国志 (一),,陈寿,裴松之/陈起焕,明文堂,2019.8.13,2019.8.23
1-1-1,한,正史 三国志 (三),,陈寿,裴松之/陈起焕,明文堂,2019.8.13,2019.8.23
1-1-1,중한,정사 삼국지 위서1,,陳壽,김원중,휴머니스트,2018.3.5,
1-1-1,중한,정사 삼국지 위서1,,陳壽,김원중,민음사,2007.3.9,2013.11.26
1-1-1,중한,정사 삼국지 위서1,,陳壽,김원중,신원문화사,1994.11.10,2000.9.1
1-1-1,중한,新譯 삼국지 1,,,김광주,서문당,1972.12.15,1984.2.5
1-1-1,중한,原本懸吐 三國志 卷一,,世昌書館,,世昌書館,,
1-1-1,중한,原本懸吐 三國志 卷四,,世昌書館,,世昌書館,,
1-1-1,중한,完譯 三國志 第一卷,,,金東里 黃順元 許允碩,博英社,1958.3.20,1966.8.20
1-1-1,중한,정사 삼국지 촉서 제5권,,陈寿,김원중,신원문화사,1994.11.1,1995.1.20
1-1-1,중,三国志 上,,陈寿,,上海古籍出版社,2026.11,
1-1-1,중,三国志 下,,陈寿,,上海古籍出版社,,
1-1-1,중,三国志（古典名著 精选精译）,,陈寿,骆宾,中国文联出版社,2016.8,2023.3
1-1-1,중,白话三国志 上册,,陈寿,吴顺东,岳麓书社,,
1-1-1,중,三国志 全,,,,경인문화사,1977.8.30,
1-1-1,중,白话三国志,,陈寿,,上海古籍出版社,1996.11,
1-1-1,중,三国志,东南西北,,,上海中原书局,1928,
1-1-1,일한,三國志 1,,吉川英治,李仁光,光學社,1975.4.2,
1-1-1,일한,秘本 三国志 1,,陈舜臣,黃晳暎,중원문화,1990.7.20,
1-1-1,일,真三国志 一 曹操の鋭鋒と官渡大決戦 (歴史群像「中国戦史」シリーズ),,,,學習研究社,2000.1.30,
1-1-1,일,真三国志 二 (歴史群像「中国戦史」シリーズ)　魏呉の激突と赤壁の戦い,,,,學習研究社,2000.2.10,
1-1-1,일,真三国志 三 諸葛孔明の戦いと秋風五丈原 (歴史群像「中国戦史」シリーズ),,,,學習研究社,2000.3.10,
1-1-1,,원본 국문 삼국기(전5권),,,,세창서관,1965.3.30,
1-1-1,,"원본 국문 삼국기(전5권) 1의 
원본국문삼국지와 동일",,,,세창서관,1928.8.20,1982.3.30
1-1-1,,"원본 교정 언문 삼국지 
5책1질 중 제1책 소유",,,,세창서관,1928.12.15,
1-1-1,,第一奇書 삼국지,,,,"박문서관 보문관
신구서림 유일서관
회동서관",1917.11.30,
1-1-1,,"無變 諺文 삼국지 
전5책1질 중 제3권(후집 상편)",,,,匯東서관,1920.2.15,
1-1-1,,"剛修 삼국지 전집 
3책, 후집 5책 중 후집 4권 소유",,,,조선서관,1913.9.5,
1-1-1,,"華容道 卷之上,下",,,,목판인쇄,,
1-1-1,,원본현토 삼국지(전5권),,,,세창서관,1962.10.30,
1-1-1,,언토 삼국지 전5권 중 제4권 소유,,,,회동서관,1916.3.25,1916.4.14
1-1-1,,위인전문고 제23호 제갈공명,,,,일본사,1935.3.5,
