인물,통솔력,결단력,전투력,통찰력,인망,실행력,전략전술,의리
이적,7,6,4,8,8,5,7,7
우금,9,7,3,5,5,8,5,3
원희,9,7,3,5,5,8,5,3
원술,2,2,1,2,1,3,3,1
원상,3,2,6,2,2,2,2,1
원소,6,2,5,4,4,4,2,3
원담,6,5,5,5,4,6,6,5
왕윤,9,7,2,8,8,9,9,7
왕준,9,9,5,9,7,9,9,7
왕평,6,7,7,7,7,7,5,8
왕보,5,5,4,7,6,4,5,6
괴월,7,8,4,9,4,8,9,1
가규,8,9,7,6,6,8,8,8
화흠,8,8,1,9,8,8,3,5
가후,6,9,2,9,8,9,9,6
곽가,5,8,1,8,5,8,8,8
곽사,6,5,7,1,1,5,1,1
학소,7,7,7,5,8,7,7,7
낙진,6,7,8,5,6,7,6,8
곽도,5,7,3,7,4,6,6,5
곽회,6,5,6,5,6,6,5,8
하후연,7,6,7,2,6,5,2,7
하후돈,9,5,9,4,7,6,4,7
하후모,1,3,1,1,2,3,2,1
가충,8,8,1,8,5,9,5,5
하진,6,2,4,4,3,4,7,5
관우,9,5,10,8,9,8,7,10
무구검,8,5,2,4,5,8,6,7
관흥,7,7,8,5,7,7,5,6
관소,5,5,6,6,5,5,5,7
한수,7,5,6,6,7,7,6,7
한숭,7,8,8,8,7,8,8,6
관택,6,7,3,7,7,7,6,6
감녕,8,8,9,9,2,5,7,8
한복,4,4,3,4,4,4,3,3
관평,7,6,8,6,7,6,5,8
간옹,5,6,4,7,7,6,7,7
안량,7,7,9,6,6,7,7,7
위연,8,8,9,5,3,7,7,4
강유,9,9,8,9,8,9,8,9
허저,7,8,9,5,7,8,9,8
허유,2,8,2,5,2,7,8,3
기령,7,7,9,5,5,7,4,8
엄안,8,6,8,6,7,6,5,7
한헌제,5,5,1,1,2,4,2,6
오의,6,5,5,6,5,5,4,6
황개,7,6,7,3,6,7,8,8
황권,6,7,5,7,7,7,6,8
고순,8,8,6,6,6,5,8,7
고상,5,5,4,4,5,4,5,6
황조,2,2,6,1,1,5,3,1
공손연,7,4,3,2,2,3,2,1
공손찬,8,7,9,5,5,7,3,8
황충,8,9,9,7,9,8,7,9
황보숭,8,6,5,6,7,7,8,8
공융,8,9,5,4,8,9,7,8
고옹,7,7,3,6,5,6,5,6
채모,7,6,5,3,4,5,4,1
사마의,9,9,6,10,9,10,10,6
사마염,8,8,9,8,9,8,9,9
사마휘,2,5,2,8,8,5,7,8
사마사,8,6,6,6,4,7,5,2
사마소,9,9,7,9,8,8,7,6
주창,7,7,9,5,8,7,7,9
주태,6,4,8,2,8,8,2,5
주유,10,9,8,9,9,8,8,9
주준,8,6,4,5,8,7,7,8
주연,6,7,7,6,6,7,8,7
순욱,9,9,8,7,9,7,9,9
순유,5,7,7,9,7,7,7,9
장완,8,7,5,8,9,6,5,9
종회,5,7,6,6,5,6,5,3
장흠,7,7,7,5,6,8,5,6
제갈각,4,4,3,3,4,6,4,3
제갈근,6,6,5,7,10,6,5,9
제갈탄,8,8,5,7,7,8,5,6
제갈량,10,10,2,10,10,8,10,10
서황,8,8,9,5,8,8,7,9
서서,9,8,8,9,7,8,6,9
서성,7,8,9,5,6,7,8,9
심배,6,7,7,8,4,8,7,9
조예,8,8,4,7,9,8,8,6
조휴,5,4,5,3,5,4,7,8
조홍,8,8,6,5,7,8,4,8
조장,6,6,8,4,5,6,5,6
조식,3,5,3,3,4,5,3,2
조진,8,8,8,4,9,8,8,9
조인,9,9,8,6,7,9,4,8
조조,10,10,7,10,8,10,10,5
조상,5,4,3,2,3,5,3,4
조비,10,9,5,9,9,9,9,5
저수,3,8,4,8,8,8,8,9
손권,10,9,9,8,8,9,8,9
손견,8,7,9,7,8,8,6,8
손건,6,7,5,7,7,6,7,7
손호,2,2,3,2,1,2,2,1
손책,9,7,9,7,9,7,7,10
손준,3,4,4,1,1,4,2,1
태사자,8,7,8,6,8,8,6,9
조운,9,9,10,7,9,9,9,9
장각,10,8,9,9,9,9,7,8
장억,8,7,8,7,8,8,7,7
장합,7,7,7,9,7,8,9,7
장홍,6,8,6,8,8,8,7,8
장수,7,8,6,7,7,7,7,8
장소,8,5,1,5,7,8,3,5
장송,7,7,7,8,9,6,9,4
장비,8,9,10,4,5,9,7,9
장포,7,8,8,6,8,7,7,8
장익,7,7,7,7,7,7,6,8
장료,9,6,7,7,9,9,7,9
장로,9,8,2,8,9,6,7,5
진궁,5,8,5,6,6,8,8,8
진군,8,8,1,8,8,8,6,9
진진,9,8,3,8,8,8,3,8
진등,7,8,6,8,7,8,7,7
진무,7,6,7,3,6,7,6,8
진림,1,8,1,8,7,9,2,5
정욱,6,8,7,8,5,8,9,6
정보,8,8,9,8,9,8,8,9
정봉,7,8,9,3,2,6,8,2
전위,4,8,9,4,7,8,5,9
전풍,6,8,4,9,7,8,9,7
등애,7,6,7,6,7,7,8,7
등지,6,7,5,9,8,8,6,8
동승,6,4,2,6,7,4,7,8
동탁,7,8,8,4,3,9,4,5
동차나,7,7,5,4,7,7,4,6
두예,8,9,7,8,7,9,9,8
마속,6,8,2,5,5,8,7,8
마대,6,7,8,8,7,7,6,8
마충,7,7,6,7,9,8,6,8
마초,8,7,9,5,8,7,5,7
마등,7,7,8,5,6,7,5,8
마량,6,4,5,7,9,6,8,8
비의,7,6,4,4,6,6,5,6
비시,8,9,5,8,7,9,8,8
미축,4,8,6,8,8,8,8,9
문추,7,7,9,6,6,7,7,7
법정,8,8,6,8,9,8,7,5
방통,4,8,5,9,3,9,10,7
방덕,6,7,8,5,7,7,6,7
보지,6,6,3,5,6,5,5,7
만총,8,8,5,6,8,9,8,9
모개,5,8,3,9,8,8,7,8
맹획,7,7,7,1,5,8,3,4
맹달,3,3,8,3,1,3,5,1
양의,7,7,3,4,4,7,5,7
이회,8,7,8,8,8,7,8,7
이각,7,4,7,3,3,7,5,8
육개,6,6,5,8,6,7,7,8
육강,8,6,5,5,8,7,7,8
육손,9,8,9,8,9,8,9,8
이엄,8,4,9,6,7,5,5,7
이유,7,8,4,8,4,8,9,3
이전,7,8,6,6,8,8,8,8
유기,3,4,3,5,2,3,7,9
유우,7,7,6,5,8,7,6,8
유장,3,1,1,2,1,1,3,1
유심,3,8,4,3,9,8,3,9
유선,2,4,1,1,2,4,1,2
유종,1,5,1,5,2,3,1,5
유비,7,5,8,4,10,5,4,7
유표,5,3,3,5,7,6,4,5
유봉,8,6,8,3,4,8,4,2
요화,8,7,7,8,6,9,6,8
능통,8,8,7,7,8,8,6,8
여범,4,4,4,6,3,5,3,7
여포,6,5,10,1,1,7,3,1
여몽,8,7,8,7,8,7,8,8
한영제,3,4,6,2,5,3,1,3
노숙,7,7,5,9,5,8,8,8
노식,8,4,7,6,8,5,7,9
